DATE,EXPIRY,STRIKE_PRC,TIME_MC,F,MD,MD_Close,N,C,BID,ASK
19/4/2018,1,32600,16:00,30557,30/5/2018,30054,26,1,82,87
19/4/2018,1,34200,16:00,30557,30/5/2018,30054,26,1,14,16
19/4/2018,1,32400,16:00,30557,30/5/2018,30054,26,1,103,108
19/4/2018,1,32200,16:00,30557,30/5/2018,30054,26,1,130,133
19/4/2018,1,32000,16:00,30557,30/5/2018,30054,26,1,159,165
19/4/2018,1,33000,16:00,30557,30/5/2018,30054,26,1,53,58
19/4/2018,1,30400,16:00,30557,30/5/2018,30054,26,0,578,585
19/4/2018,1,34000,16:00,30557,30/5/2018,30054,26,1,18,20
19/4/2018,1,30200,16:00,30557,30/5/2018,30054,26,1,855,867
19/4/2018,1,30800,16:00,30557,30/5/2018,30054,26,0,766,775
19/4/2018,1,29400,16:00,30557,30/5/2018,30054,26,0,269,274
19/4/2018,1,28200,16:00,30557,30/5/2018,30054,26,0,105,110
19/4/2018,1,30600,16:00,30557,30/5/2018,30054,26,0,668,676
19/4/2018,1,29200,16:00,30557,30/5/2018,30054,26,0,231,235
19/4/2018,1,29800,16:00,30557,30/5/2018,30054,26,1,1100,1150
19/4/2018,1,29000,16:00,30557,30/5/2018,30054,26,0,197,201
19/4/2018,1,34400,16:00,30557,30/5/2018,30054,26,1,11,14
19/4/2018,1,31400,16:00,30557,30/5/2018,30054,26,0,1121,1171
19/4/2018,1,31000,16:00,30557,30/5/2018,30054,26,1,440,447
19/4/2018,1,30200,16:00,30557,30/5/2018,30054,26,0,499,505
19/4/2018,1,31600,16:00,30557,30/5/2018,30054,26,1,246,249
19/4/2018,1,26600,16:00,30557,30/5/2018,30054,26,0,33,36
19/4/2018,1,34800,16:00,30557,30/5/2018,30054,26,1,8,11
19/4/2018,1,29600,16:00,30557,30/5/2018,30054,26,0,315,320
19/4/2018,1,26400,16:00,30557,30/5/2018,30054,26,0,28,33
19/4/2018,1,26800,16:00,30557,30/5/2018,30054,26,0,37,41
19/4/2018,1,27000,16:00,30557,30/5/2018,30054,26,0,41,47
19/4/2018,1,27200,16:00,30557,30/5/2018,30054,26,0,48,54
19/4/2018,1,28400,16:00,30557,30/5/2018,30054,26,0,122,127
19/4/2018,1,30600,16:00,30557,30/5/2018,30054,26,1,627,634
19/4/2018,1,27600,16:00,30557,30/5/2018,30054,26,0,66,70
19/4/2018,1,28600,16:00,30557,30/5/2018,30054,26,0,146,148
19/4/2018,1,28000,16:00,30557,30/5/2018,30054,26,0,90,95
19/4/2018,1,31400,16:00,30557,30/5/2018,30054,26,1,301,304
19/4/2018,1,31000,16:00,30557,30/5/2018,30054,26,0,869,909
20/4/2018,0,30600,16:00,30333,27/4/2018,30149.5,5,1,146,148
20/4/2018,0,31600,16:00,30333,27/4/2018,30149.5,5,1,10,12
20/4/2018,0,31400,16:00,30333,27/4/2018,30149.5,5,1,19,20
20/4/2018,0,31200,16:00,30333,27/4/2018,30149.5,5,1,31,32
20/4/2018,0,31000,16:00,30333,27/4/2018,30149.5,5,0,713,726
20/4/2018,0,30800,16:00,30333,27/4/2018,30149.5,5,1,89,90
20/4/2018,0,31800,16:00,30333,27/4/2018,30149.5,5,1,7,8
20/4/2018,0,30800,16:00,30333,27/4/2018,30149.5,5,0,552,562
20/4/2018,0,30600,16:00,30333,27/4/2018,30149.5,5,0,410,418
20/4/2018,0,30400,16:00,30333,27/4/2018,30149.5,5,1,232,235
20/4/2018,0,30400,16:00,30333,27/4/2018,30149.5,5,0,298,302
20/4/2018,0,30200,16:00,30333,27/4/2018,30149.5,5,1,346,350
20/4/2018,0,30200,16:00,30333,27/4/2018,30149.5,5,0,215,217
20/4/2018,0,30000,16:00,30333,27/4/2018,30149.5,5,1,484,492
20/4/2018,0,30000,16:00,30333,27/4/2018,30149.5,5,0,154,156
20/4/2018,0,31000,16:00,30333,27/4/2018,30149.5,5,1,53,54
20/4/2018,0,29800,16:00,30333,27/4/2018,30149.5,5,1,641,651
20/4/2018,0,29800,16:00,30333,27/4/2018,30149.5,5,0,112,114
20/4/2018,0,29600,16:00,30333,27/4/2018,30149.5,5,1,810,820
20/4/2018,0,29600,16:00,30333,27/4/2018,30149.5,5,0,82,84
20/4/2018,0,29400,16:00,30333,27/4/2018,30149.5,5,0,60,61
20/4/2018,0,29200,16:00,30333,27/4/2018,30149.5,5,0,44,45
20/4/2018,0,29000,16:00,30333,27/4/2018,30149.5,5,0,32,34
20/4/2018,0,28800,16:00,30333,27/4/2018,30149.5,5,0,24,25
20/4/2018,0,28600,16:00,30333,27/4/2018,30149.5,5,0,17,19
20/4/2018,0,28400,16:00,30333,27/4/2018,30149.5,5,0,13,15
20/4/2018,0,28200,16:00,30333,27/4/2018,30149.5,5,0,10,12
20/4/2018,0,28000,16:00,30333,27/4/2018,30149.5,5,0,8,9
20/4/2018,0,27800,16:00,30333,27/4/2018,30149.5,5,0,6,8
20/4/2018,0,27600,16:00,30333,27/4/2018,30149.5,5,0,5,7
20/4/2018,0,27400,16:00,30333,27/4/2018,30149.5,5,0,5,6
20/4/2018,1,33200,16:00,30166,30/5/2018,30054,25,1,23,26
20/4/2018,1,32800,16:00,30166,30/5/2018,30054,25,1,37,41
20/4/2018,1,33000,16:00,30166,30/5/2018,30054,25,1,29,32
20/4/2018,1,33600,16:00,30166,30/5/2018,30054,25,1,15,17
20/4/2018,1,33800,16:00,30166,30/5/2018,30054,25,1,11,14
20/4/2018,1,30400,16:00,30166,30/5/2018,30054,25,1,524,532
20/4/2018,1,33400,16:00,30166,30/5/2018,30054,25,1,19,21
20/4/2018,1,30600,16:00,30166,30/5/2018,30054,25,0,854,893
20/4/2018,1,30400,16:00,30166,30/5/2018,30054,25,0,756,767
20/4/2018,1,31200,16:00,30166,30/5/2018,30054,25,1,235,239
20/4/2018,1,32200,16:00,30166,30/5/2018,30054,25,1,75,79
20/4/2018,1,31600,16:00,30166,30/5/2018,30054,25,1,150,155
20/4/2018,1,31800,16:00,30166,30/5/2018,30054,25,1,120,124
20/4/2018,1,32000,16:00,30166,30/5/2018,30054,25,1,95,99
20/4/2018,1,30200,16:00,30166,30/5/2018,30054,25,0,658,667
20/4/2018,1,30000,16:00,30166,30/5/2018,30054,25,1,737,747
20/4/2018,1,29800,16:00,30166,30/5/2018,30054,25,1,860,870
20/4/2018,1,29800,16:00,30166,30/5/2018,30054,25,0,495,502
20/4/2018,1,30000,16:00,30166,30/5/2018,30054,25,0,572,579
20/4/2018,1,28800,16:00,30166,30/5/2018,30054,25,0,235,240
20/4/2018,1,30800,16:00,30166,30/5/2018,30054,25,1,357,363
20/4/2018,1,29200,16:00,30166,30/5/2018,30054,25,0,317,323
20/4/2018,1,29600,16:00,30166,30/5/2018,30054,25,0,427,434
20/4/2018,1,28600,16:00,30166,30/5/2018,30054,25,0,201,207
20/4/2018,1,27800,16:00,30166,30/5/2018,30054,25,0,111,116
20/4/2018,1,32400,16:00,30166,30/5/2018,30054,25,1,59,63
20/4/2018,1,28000,16:00,30166,30/5/2018,30054,25,0,129,134
20/4/2018,1,32600,16:00,30166,30/5/2018,30054,25,1,47,51
20/4/2018,1,30800,16:00,30166,30/5/2018,30054,25,0,977,1017
20/4/2018,1,29600,16:00,30166,30/5/2018,30054,25,1,971,1021
20/4/2018,1,29000,16:00,30166,30/5/2018,30054,25,0,272,279
20/4/2018,1,28400,16:00,30166,30/5/2018,30054,25,0,174,179
20/4/2018,1,27600,16:00,30166,30/5/2018,30054,25,0,96,100
20/4/2018,1,30200,16:00,30166,30/5/2018,30054,25,1,625,634
20/4/2018,1,26400,16:00,30166,30/5/2018,30054,25,0,39,42
20/4/2018,1,26600,16:00,30166,30/5/2018,30054,25,0,45,49
