,game_date,home_team,Stadium,week,away_team,weekday,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_city,away_team_city,total_attendance,home_attendance,away_attendance,weekly_attendance,wins,loss,points_for,points_against,points_differential,margin_of_victory,strength_of_schedule,simple_rating,offensive_ranking,defensive_ranking,playoffs,superbowl_winner,Capacity,Turf,Temperature,EstimatedCondition
3995,24/11/2002,1,31,12,25,4,16:05:00,41,20,520,1,263,3,1,23,898877,327272,571605,58814,5,11,262,417,-155,-9.7,-0.2,-9.9,-5.4,-4.5,1,1,63400,3,75.02,2
3996,2/11/2003,1,31,9,7,4,16:05:00,17,14,304,1,263,2,1,7,804401,288499,515902,23531,4,12,225,452,-227,-14.2,1.6,-12.6,-6.3,-6.2,1,1,63400,3,75.02,2
3997,12/12/2004,1,31,14,29,4,16:15:00,31,28,352,1,374,2,1,27,838557,300267,538290,35069,6,10,284,322,-38,-2.4,-2.5,-4.9,-5.1,0.2,1,1,63400,3,75.02,4
3998,19/12/2004,1,31,15,31,4,16:05:00,31,7,402,1,185,2,1,29,838557,300267,538290,40070,6,10,284,322,-38,-2.4,-2.5,-4.9,-5.1,0.2,1,1,63400,3,75.02,2
3999,22/11/2012,9,4,12,34,5,16:41:00,38,31,437,1,458,3,9,32,1290328,708249,582079,90166,8,8,376,400,-24,-1.5,1.8,0.3,1.4,-1.2,1,1,80000,2,75.2,2
4000,1/10/2017,9,4,4,18,4,13:00:00,35,30,412,0,440,2,9,17,1309211,741775,567436,91869,9,7,354,332,22,1.4,0.2,1.6,0.4,1.2,1,1,80000,2,75.2,2
4001,30/9/2018,9,4,4,11,4,13:00:00,26,24,414,0,382,0,9,11,1303393,732958,570435,90155,10,6,339,324,15,0.9,0.2,1.1,-1.9,2.9,2,1,80000,2,75.2,2
4002,5/10/2008,5,5,5,16,4,13:04:00,34,0,441,2,127,3,5,16,1111316,585684,525632,72319,12,4,414,329,85,5.3,0.3,5.6,2.8,2.9,2,1,74867,3,75.2,2
4003,25/9/2011,5,5,3,15,4,13:02:00,16,10,265,0,257,1,5,15,1098587,578342,520245,71704,6,10,406,429,-23,-1.4,0.1,-1.3,2.6,-3.9,1,1,74867,3,75.2,2
4004,21/9/2008,10,7,3,22,4,16:06:00,34,32,369,2,502,1,10,21,1159630,604074,555556,75713,8,8,370,448,-78,-4.9,-0.9,-5.8,0.7,-6.5,1,1,76125,3,75.2,2
4005,7/9/2014,10,7,1,14,4,20:30:00,31,24,361,0,408,2,10,14,1156767,615517,541250,76939,12,4,482,354,128,8,1.6,9.6,9.2,0.4,2,1,76125,3,75.2,2
4006,2/10/2005,34,8,4,30,4,13:03:00,20,17,352,1,354,0,32,28,1260275,716999,543276,90215,10,6,359,293,66,4.1,1.9,6,2.6,3.4,2,1,79000,3,75.2,2
4007,10/9/2000,11,9,2,34,4,16:16:00,15,10,244,2,333,4,11,32,1140926,607076,533850,74159,9,7,307,307,0,0,1.4,1.4,-0.1,1.5,1,1,65000,2,75.2,2
4008,4/12/2005,19,11,13,4,4,13:03:00,24,23,434,2,294,3,18,4,1107797,575256,532541,72051,9,7,318,317,1,0.1,-0.8,-0.8,-1.1,0.3,1,1,65326,3,75.2,2
4009,26/9/2004,23,20,3,8,4,13:02:00,27,10,390,0,285,3,22,8,1160690,629874,530816,78521,6,10,303,347,-44,-2.8,-1.2,-3.9,-2.3,-1.6,1,1,82500,2,75.2,1
4010,14/10/2012,24,20,6,14,4,13:02:00,35,9,351,0,298,4,22,14,1142324,632704,509620,79088,6,10,281,375,-94,-5.9,0,-5.9,-5.1,-0.9,1,1,82500,2,75.2,2
