"","x"
"987",85112
"988",40056
"989",84936
"990",78884
"991",70020
"992",61721
"993",85140
"994",63104
"995",28980
"996",30014
"997",72286
"998",59702
"999",67173
"1000",47819
"1001",29252
"1002",64990
"1003",58814
"1004",77809
"1005",28640
"1006",65939
"1007",44051
"1008",75164
"1009",63127
"1010",68081
"1011",68129
"1012",68936
"1013",78728
"1014",68056
"1015",67883
"1016",68532
"1017",62779
"1018",70382
"1019",72533
"1020",63947
"1021",65648
"1022",69551
"1023",69307
"1024",73528
"1025",70386
"1026",69304
"1027",69538
"1028",73688
"1029",56174
"1030",69173
"1031",69638
"1032",68532
"1033",69024
"1034",73013
"1035",69365
"1036",44878
"1037",69334
"1038",70108
"1039",69348
"1040",61961
"1041",72751
"1042",64047
"1043",75359
"1044",72780
"1045",73038
"1046",70120
"1047",73180
"1048",72710
"1049",73448
"1050",77951
"1051",78745
"1052",73287
"1053",68436
"1054",61838
"1055",64106
"1056",47850
"1057",70386
"1058",71951
"1059",63945
"1060",63329
"1061",72286
"1062",61773
"1063",68056
"1064",72892
"1065",72566
"1066",65527
"1067",72533
"1068",72718
"1069",66799
"1070",58586
"1071",72602
"1072",66946
"1073",63226
"1074",68081
"1075",63216
"1076",72780
"1077",63226
"1078",60421
"1079",64122
"1080",54049
"1081",63105
"1082",66250
"1083",62375
"1084",64196
"1085",73609
"1086",62226
"1087",72602
"1088",55832
"1089",53705
"1090",73358
"1091",68129
"1092",57234
"1093",56570
"1094",63900
"1095",52822
"1096",69827
"1097",69024
"1098",64060
"1099",60473
"1100",44878
"1101",66799
"1102",42092
"1103",43544
"1104",47850
"1105",72938
"1106",73358
"1107",68804
"1108",62864
"1109",73688
"1110",65627
"1111",73248
"1112",78502
"1113",73718
"1114",64060
"1115",68295
"1116",72718
"1117",46267
"1118",73098
"1119",69348
"1120",73528
"1121",69604
"1122",62527
"1123",65537
"1124",66165
"1125",63447
"1126",61773
"1127",59702
"1128",63854
"1129",61789
"1130",57057
"1131",62204
"1132",63606
"1133",64097
"1134",78698
"1135",63209
"1136",84142
"1137",75710
"1138",67685
"1139",75359
"1140",69538
"1141",75065
"1142",75941
"1143",78446
"1144",68436
"1145",76643
"1146",65495
"1147",75075
"1148",66357
"1149",78521
"1150",75947
"1151",62592
"1152",75164
"1153",72216
"1154",71951
"1155",61505
"1156",60023
"1157",64013
"1158",60421
"1159",72710
"1160",61789
"1161",63313
"1162",61720
"1163",62375
"1164",62109
"1165",28640
"1166",61942
"1167",69307
"1168",60233
"1169",63127
"1170",67958
"1171",61505
"1172",63329
"1173",63226
"1174",68436
"1175",63363
"1176",63284
"1177",63313
"1178",64153
"1179",65672
"1180",64196
"1181",64070
"1182",67947
"1183",64106
"1184",78733
"1185",69604
"1186",56098
"1187",69204
"1188",64867
"1189",70120
"1190",73248
"1191",53721
"1192",69827
"1193",68804
"1194",69711
"1195",70054
"1196",56820
"1197",58551
"1198",70108
"1199",70291
"1200",70694
"1201",56595
"1202",56650
"1203",69204
"1204",56570
"1205",56174
"1206",62800
"1207",80169
"1208",56752
"1209",65660
"1210",57057
"1211",75075
"1212",56820
"1213",68804
"1214",73098
"1215",56579
"1216",56755
"1217",56595
"1218",77934
"1219",55670
"1220",65005
"1221",68804
"1222",69173
"1223",53721
"1224",78337
"1225",66665
"1226",69711
"1227",62204
"1228",55260
"1229",46267
"1230",42092
"1231",51033
"1232",56755
"1233",72938
"1234",77934
"1235",68436
"1236",78178
"1237",78149
"1238",58995
"1239",78446
"1240",78685
"1241",67881
"1242",77951
"1243",56250
"1244",77809
"1245",78601
"1246",75947
"1247",77899
"1248",62078
"1249",72216
"1250",56650
"1251",73426
"1252",78178
"1253",73369
"1254",75941
"1255",73180
"1256",63284
"1257",78920
"1258",73013
"1259",73138
"1260",73287
"1261",73609
"1262",73572
"1263",64285
"1264",68436
"1265",63226
"1266",64047
"1267",63945
"1268",65212
"1269",64013
"1270",78516
"1271",64122
"1272",65667
"1273",64005
"1274",64153
"1275",68436
"1276",63947
"1277",64070
"1278",67851
"1279",64285
"1280",60233
"1281",68436
"1282",78726
"1283",68436
"1284",66463
"1285",73369
"1286",68436
"1287",68436
"1288",73448
"1289",63105
"1290",62552
"1291",68436
"1292",62109
"1293",68436
"1294",68809
"1295",68436
"1296",68436
"1297",65554
"1298",67958
"1299",63216
"1300",60023
"1301",67734
"1302",80768
"1303",67903
"1304",67883
"1305",72566
"1306",70382
"1307",68295
"1308",68226
"1309",69334
"1310",67851
"1311",43544
"1312",66946
"1313",78748
"1314",65932
"1315",78551
"1316",30014
"1317",63447
"1318",78728
"1319",65791
"1320",78337
"1321",64005
"1322",78727
"1323",70054
"1324",78640
"1325",78635
"1326",78698
"1327",56579
"1328",78782
"1329",72751
"1330",78726
"1331",73426
"1332",55670
"1333",78149
"1334",78516
"1335",78502
"1336",59772
"1337",78920
"1338",61720
"1339",78745
"1340",62257
"1341",78521
"1342",62226
"1343",68436
"1344",78733
"1345",53260
"1346",62260
"1347",58719
"1348",73038
"1349",66070
"1350",60974
"1351",78685
"1352",62660
"1353",76643
"1354",62552
"1355",58814
"1356",62257
"1357",67968
"1358",73572
"1359",62592
"1360",62078
"1361",68804
"1362",84982
"1363",65537
"1364",64867
"1365",65005
"1366",65523
"1367",65791
"1368",54049
"1369",65660
"1370",64990
"1371",67919
"1372",65552
"1373",59862
"1374",65615
"1375",63209
"1376",78782
"1377",68436
"1378",62260
"1379",62864
"1380",67734
"1381",63900
"1382",62800
"1383",69638
"1384",73718
"1385",62779
"1386",68804
"1387",60473
"1388",55260
"1389",58551
"1390",58586
"1391",65684
"1392",61961
"1393",53705
"1394",56098
"1395",28980
"1396",66463
"1397",75065
"1398",58995
"1399",60974
"1400",59772
"1401",66093
"1402",67161
"1403",73138
"1404",66357
"1405",67968
"1406",61838
"1407",77899
"1408",52159
"1409",78748
"1410",67685
"1411",67541
"1412",67853
"1413",66420
"1414",67903
"1415",67173
"1416",62660
"1417",67881
"1418",67161
"1419",67919
"1420",67594
"1421",64097
"1422",67947
"1423",44051
"1424",66118
"1425",53260
"1426",63104
"1427",78551
"1428",65212
"1429",66420
"1430",65931
"1431",63854
"1432",64325
"1433",29252
"1434",65495
"1435",56250
"1436",67594
"1437",59862
"1438",69551
"1439",63953
"1440",52159
"1441",75710
"1442",65932
"1443",65652
"1444",66165
"1445",67853
"1446",66070
"1447",65931
"1448",47819
"1449",66093
"1450",66250
"1451",79823
"1452",65552
"1453",78601
"1454",65939
"1455",63953
"1456",66118
"1457",65554
"1458",69304
"1459",65652
"1460",57234
"1461",68936
"1462",65627
"1463",65523
"1464",72892
"1465",65667
"1466",65527
"1467",65672
"1468",68226
"1469",65648
"1470",61942
"1471",65684
"1472",55832
"1473",68804
"1474",62527
"1475",68804
"1476",58719
"1477",68804
"1478",68804
"1479",52822
"1480",56752
"1481",68804
"1482",68804
"1483",69365
"1484",78640
"1485",68804
"1486",68809
"1487",51033
"1488",70694
"1489",85140
"1490",84982
"1491",67541
"1492",68804
"1493",80768
"1494",63363
"1495",80169
"1496",64325
"1497",66665
"1498",78727
"1499",79823
"1500",63606
"1501",78635
"1502",65615
"1503",70291
"1504",84142
"1505",60691
"1506",23127
"1507",58784
"1508",65758
"1509",63601
"1510",24193
"1511",40824
"1512",23531
"1513",59520
"1514",72908
"1515",42089
"1516",61550
"1517",66975
"1518",23217
"1519",64899
"1520",52734
"1521",64104
"1522",70241
"1523",70871
"1524",72765
"1525",70427
"1526",66075
"1527",70837
"1528",70064
"1529",78813
"1530",68432
"1531",70891
"1532",70388
"1533",70079
"1534",57103
"1535",65572
"1536",70266
"1537",63157
"1538",69473
"1539",52028
"1540",69459
"1541",24193
"1542",53553
"1543",69721
"1544",69486
"1545",66085
"1546",73333
"1547",69477
"1548",69549
"1549",69468
"1550",45398
"1551",72548
"1552",70001
"1553",73262
"1554",58613
"1555",73458
"1556",73305
"1557",72615
"1558",77740
"1559",73149
"1560",78689
"1561",63770
"1562",72677
"1563",73004
"1564",78481
"1565",72791
"1566",68809
"1567",73319
"1568",68436
"1569",72134
"1570",65621
"1571",72765
"1572",72496
"1573",57082
"1574",72851
"1575",68370
"1576",70052
"1577",73245
"1578",73263
"1579",63871
"1580",72977
"1581",70079
"1582",23217
"1583",72835
"1584",78130
"1585",67554
"1586",64144
"1587",60257
"1588",61099
"1589",68390
"1590",65671
"1591",61428
"1592",61500
"1593",61492
"1594",61820
"1595",75540
"1596",61550
"1597",70458
"1598",61804
"1599",50127
"1600",78413
"1601",63820
"1602",50135
"1603",64596
"1604",73428
"1605",72615
"1606",53553
"1607",52131
"1608",23531
"1609",50437
"1610",64923
"1611",52069
"1612",58797
"1613",69468
"1614",64666
"1615",66061
"1616",65362
"1617",73358
"1618",69473
"1619",67412
"1620",73428
"1621",64595
"1622",73318
"1623",73238
"1624",68436
"1625",78560
"1626",72908
"1627",73658
"1628",64680
"1629",73108
"1630",75358
"1631",72548
"1632",65362
"1633",64104
"1634",78907
"1635",77863
"1636",63601
"1637",63648
"1638",61160
"1639",65602
"1640",64002
"1641",63770
"1642",68436
"1643",63871
"1644",64110
"1645",69773
"1646",70284
"1647",64118
"1648",68451
"1649",63820
"1650",65445
"1651",76753
"1652",75719
"1653",78903
"1654",75974
"1655",64381
"1656",69721
"1657",76203
"1658",75217
"1659",75540
"1660",57201
"1661",76403
"1662",75358
"1663",57149
"1664",70299
"1665",60691
"1666",70244
"1667",60865
"1668",75719
"1669",67365
"1670",61160
"1671",61428
"1672",61561
"1673",61492
"1674",65865
"1675",63946
"1676",62123
"1677",61544
"1678",77922
"1679",72835
"1680",61006
"1681",70505
"1682",70244
"1683",58784
"1684",60257
"1685",70365
"1686",70407
"1687",66201
"1688",64482
"1689",70291
"1690",65614
"1691",70250
"1692",62123
"1693",70458
"1694",64978
"1695",62298
"1696",70299
"1697",73010
"1698",68390
"1699",70487
"1700",70041
"1701",68809
"1702",70623
"1703",56132
"1704",70052
"1705",50437
"1706",72677
"1707",70719
"1708",70388
"1709",43363
"1710",65124
"1711",70758
"1712",70680
"1713",73358
"1714",56999
"1715",55770
"1716",70020
"1717",65647
"1718",57082
"1719",56132
"1720",73258
"1721",45037
"1722",56801
"1723",73004
"1724",57102
"1725",68809
"1726",57103
"1727",57149
"1728",70680
"1729",72134
"1730",58613
"1731",55770
"1732",70041
"1733",48954
"1734",66437
"1735",55918
"1736",69486
"1737",45037
"1738",68809
"1739",77614
"1740",60543
"1741",43363
"1742",68436
"1743",49207
"1744",70266
"1745",78048
"1746",78416
"1747",70487
"1748",69459
"1749",78903
"1750",70407
"1751",62391
"1752",78689
"1753",78560
"1754",64923
"1755",78889
"1756",57671
"1757",76403
"1758",77922
"1759",64291
"1760",78413
"1761",73010
"1762",77461
"1763",73458
"1764",78863
"1765",66437
"1766",73650
"1767",73014
"1768",73258
"1769",68809
"1770",73333
"1771",73578
"1772",64110
"1773",68436
"1774",73780
"1775",73319
"1776",73720
"1777",70505
"1778",64144
"1779",60865
"1780",64111
"1781",70427
"1782",64381
"1783",64114
"1784",64482
"1785",64738
"1786",56653
"1787",63946
"1788",66134
"1789",63968
"1790",61804
"1791",64291
"1792",52734
"1793",73262
"1794",67624
"1795",68436
"1796",83632
"1797",68436
"1798",68436
"1799",73650
"1800",68436
"1801",76203
"1802",68436
"1803",70719
"1804",57102
"1805",68436
"1806",68436
"1807",77835
"1808",68436
"1809",52250
"1810",68390
"1811",68809
"1812",70020
"1813",72496
"1814",68390
"1815",70837
"1816",68370
"1817",65524
"1818",68432
"1819",67802
